"country","count","lon","lat","weight","Authorship"
"Sweden",4,16.75289398,62.78917387,0.111111111111111,"First author"
"France",2,-2.77052452,42.17160095,0.0555555555555556,"First author"
"USA",8,-112.49310668,45.68715961,0.222222222222222,"First author"
"Netherlands",5,5.21412054,52.06812055,0.138888888888889,"First author"
"Malaysia",1,109.69770226,3.79239687,0.0277777777777778,"First author"
"Ethiopia",1,39.60055108,8.62295174,0.0277777777777778,"First author"
"UK",6,-2.8864099,54.14678254,0.166666666666667,"First author"
"South Africa",9,25.08773292,-29.00105188,0.25,"First author"
"Zimbabwe",1,29.85188462,-19.00253671,0.0277777777777778,"First author"
"Cameroon",2,12.73708339,5.69312773,0.0555555555555556,"First author"
"Kenya",4,37.79622573,0.59808146,0.111111111111111,"First author"
"Ghana",1,-1.21646616,7.95379716,0.0277777777777778,"First author"
"Germany",8,10.38154835,51.10621317,0.222222222222222,"First author"
"Austria",2,14.13067289,47.58565692,0.0555555555555556,"First author"
"Spain",1,-3.65680212,40.23690054,0.0277777777777778,"First author"
"Indonesia",1,117.2721054,-2.22083111,0.0277777777777778,"First author"
"India",1,79.61221374,22.88736601,0.0277777777777778,"First author"
"Belgium",1,4.64012138,50.63740613,0.0277777777777778,"First author"
"Brazil",1,-53.093972,-10.78278082,0.0277777777777778,"First author"
"Czech Republic",1,15.3141031,49.73244821,0.0277777777777778,"First author"
"Côte d’Ivoire",1,-5.56901056,7.62783904,0.0277777777777778,"First author"
"Australia",2,134.49257185,-25.73236473,0.0555555555555556,"First author"
"Japan",1,137.99253526,37.55590074,0.0277777777777778,"First author"
